Degree,M,Trial,WeakError
1,32000,5,3.998305e-03
1,32000,6,9.177638e-03
1,32000,7,5.358828e-04
1,32000,8,1.754548e-02
1,32000,9,1.602412e-02
1,64000,0,1.203768e-02
1,64000,1,8.678002e-04
1,64000,2,1.825526e-03
1,64000,3,9.714840e-03
1,64000,4,3.622720e-03
1,64000,5,8.706260e-03
1,64000,6,7.981698e-03
1,64000,7,6.061963e-03
1,64000,8,5.586909e-03
1,64000,9,8.378463e-03
1,100000,0,9.833064e-04
1,100000,1,6.514990e-03
1,100000,2,3.346935e-03
1,100000,3,7.720576e-04
1,100000,4,2.936769e-03
1,100000,5,2.098674e-03
1,100000,6,2.990440e-03
1,100000,7,5.569714e-03
1,100000,8,4.350908e-03
1,100000,9,1.199966e-02
0,2000,0,2.369424e-02
0,2000,1,1.555133e-02
0,2000,2,6.247878e-02
0,2000,3,1.211348e-02
0,2000,4,4.071027e-02
0,2000,5,1.086892e-01
0,2000,6,2.939448e-02
0,2000,7,3.060280e-02
0,2000,8,3.937349e-02
0,2000,9,5.252863e-02
0,4000,0,6.193633e-02
0,4000,1,1.811849e-02
0,4000,2,2.720856e-03
0,4000,3,5.595583e-02
0,4000,4,5.961520e-03
0,4000,5,2.463376e-02
0,4000,6,2.756905e-02
0,4000,7,7.905975e-03
0,4000,8,6.077010e-03
0,4000,9,5.963591e-03
0,8000,0,8.681777e-03
0,8000,1,1.949044e-02
0,8000,2,1.491769e-02
0,8000,3,2.394497e-02
0,8000,4,6.791220e-04
0,8000,5,7.953634e-03
0,8000,6,2.781930e-02
0,8000,7,1.273535e-02
0,8000,8,4.180041e-02
0,8000,9,3.526206e-02
0,16000,0,1.854580e-02
0,16000,1,3.063254e-03
0,16000,2,7.537377e-03
0,16000,3,3.651671e-02
0,16000,4,2.700627e-02
0,16000,5,2.536640e-02
0,16000,6,2.729150e-02
0,16000,7,2.564987e-02
0,16000,8,6.879717e-03
0,16000,9,3.049891e-02
0,32000,0,1.204612e-02
0,32000,1,1.821922e-02
0,32000,2,1.256177e-02
0,32000,3,2.756874e-02
0,32000,4,3.657196e-02
0,32000,5,2.005882e-02
0,32000,6,2.421228e-02
0,32000,7,3.536845e-02
0,32000,8,5.095565e-03
0,32000,9,1.708465e-02
0,64000,0,1.647730e-02
0,64000,1,2.520878e-02
0,64000,2,1.434031e-02
0,64000,3,1.927362e-02
0,64000,4,2.168107e-02
0,64000,5,3.203351e-02
0,64000,6,1.670097e-02
0,64000,7,3.183792e-02
0,64000,8,2.363767e-02
0,64000,9,2.368380e-02
0,100000,0,2.606801e-02
0,100000,1,2.103510e-02
0,100000,2,2.631709e-02
0,100000,3,2.221849e-02
0,100000,4,2.958135e-02
0,100000,5,1.820082e-02
0,100000,6,2.320365e-02
0,100000,7,2.174368e-02
0,100000,8,2.052606e-02
0,100000,9,2.744384e-02
