Degree,M,Trial,WeakError
1,32000,5,7.864704e-03
1,32000,6,1.028199e-03
1,32000,7,9.409848e-03
1,32000,8,4.279405e-03
1,32000,9,1.104271e-04
1,64000,0,5.185128e-03
1,64000,1,4.068424e-03
1,64000,2,5.034644e-05
1,64000,3,3.548007e-03
1,64000,4,2.469417e-03
1,64000,5,1.877899e-03
1,64000,6,1.960803e-03
1,64000,7,1.050369e-03
1,64000,8,5.131539e-03
1,64000,9,6.881433e-03
1,100000,0,4.181360e-03
1,100000,1,9.707887e-03
1,100000,2,2.800912e-03
1,100000,3,1.259581e-02
1,100000,4,1.353061e-03
1,100000,5,3.921398e-04
1,100000,6,2.675620e-03
1,100000,7,4.638556e-04
1,100000,8,6.509940e-03
1,100000,9,4.382365e-03
0,2000,0,3.273294e-02
0,2000,1,4.442788e-02
0,2000,2,1.435456e-02
0,2000,3,2.279044e-02
0,2000,4,3.440285e-02
0,2000,5,3.268983e-02
0,2000,6,3.393927e-03
0,2000,7,1.221651e-02
0,2000,8,3.574994e-02
0,2000,9,5.215530e-02
0,4000,0,2.922555e-02
0,4000,1,5.167294e-03
0,4000,2,1.689344e-02
0,4000,3,4.047838e-02
0,4000,4,6.770202e-02
0,4000,5,1.572835e-02
0,4000,6,6.662562e-03
0,4000,7,3.002385e-02
0,4000,8,5.844883e-02
0,4000,9,1.179981e-02
0,8000,0,5.503956e-02
0,8000,1,3.880034e-02
0,8000,2,2.962632e-02
0,8000,3,2.709537e-02
0,8000,4,4.264151e-02
0,8000,5,8.009416e-03
0,8000,6,3.011221e-02
0,8000,7,4.611004e-02
0,8000,8,3.579305e-02
0,8000,9,5.704553e-02
0,16000,0,3.514133e-02
0,16000,1,4.043619e-02
0,16000,2,2.866936e-02
0,16000,3,2.108396e-02
0,16000,4,1.789827e-02
0,16000,5,1.338961e-02
0,16000,6,1.504846e-02
0,16000,7,3.069977e-02
0,16000,8,6.319927e-03
0,16000,9,3.195243e-02
0,32000,0,2.408002e-02
0,32000,1,2.867359e-02
0,32000,2,1.898601e-02
0,32000,3,2.105986e-02
