M,weak_error,mean,std
2000,0.04224179118207779,0.03823985159521774,0.023659839723105657
2000,0.031013192940519702,0.03823985159521774,0.023659839723105657
2000,0.060322442170821965,0.03823985159521774,0.023659839723105657
2000,0.0043717117288438,0.03823985159521774,0.023659839723105657
2000,0.07983951972423387,0.03823985159521774,0.023659839723105657
2000,0.053767461807196264,0.03823985159521774,0.023659839723105657
2000,0.04109946534201213,0.03823985159521774,0.023659839723105657
2000,0.04319710687380077,0.03823985159521774,0.023659839723105657
2000,0.019756481586708802,0.03823985159521774,0.023659839723105657
2000,0.006789342595962394,0.03823985159521774,0.023659839723105657
4000,0.025068629086286605,0.025308291695527386,0.019126923455391652
4000,0.06520599809152665,0.025308291695527386,0.019126923455391652
4000,0.021852525452700687,0.025308291695527386,0.019126923455391652
4000,0.011862956534449307,0.025308291695527386,0.019126923455391652
4000,0.010638814213287244,0.025308291695527386,0.019126923455391652
4000,0.01572071747030992,0.025308291695527386,0.019126923455391652
4000,0.0429188626937848,0.025308291695527386,0.019126923455391652
4000,0.016437399629367404,0.025308291695527386,0.019126923455391652
4000,0.04151025335820338,0.025308291695527386,0.019126923455391652
4000,0.0018667604253578246,0.025308291695527386,0.019126923455391652
8000,0.02118195326289024,0.021405274489621692,0.017454930461368756
8000,0.003502523578330637,0.021405274489621692,0.017454930461368756
8000,0.03901476991728499,0.021405274489621692,0.017454930461368756
8000,0.03236572276294529,0.021405274489621692,0.017454930461368756
8000,0.003067590001469847,0.021405274489621692,0.017454930461368756
8000,0.013502805835880469,0.021405274489621692,0.017454930461368756
8000,0.005164920460849994,0.021405274489621692,0.017454930461368756
8000,0.00933988550785749,0.021405274489621692,0.017454930461368756
8000,0.03319104010798331,0.021405274489621692,0.017454930461368756
8000,0.05372153346072464,0.021405274489621692,0.017454930461368756
16000,0.007806289685399077,0.012420648706491889,0.008475346177988072
16000,0.028618504972100115,0.012420648706491889,0.008475346177988072
16000,0.015706489671179456,0.012420648706491889,0.008475346177988072
16000,0.010575077084838439,0.012420648706491889,0.008475346177988072
16000,0.0016050674362853583,0.012420648706491889,0.008475346177988072
16000,0.02062230601426358,0.012420648706491889,0.008475346177988072
16000,0.004032313000949267,0.012420648706491889,0.008475346177988072
16000,0.01112746206884454,0.012420648706491889,0.008475346177988072
16000,0.005271505894728231,0.012420648706491889,0.008475346177988072
16000,0.018841471236330832,0.012420648706491889,0.008475346177988072
32000,0.00544042337826021,0.010402351663273166,0.00921234812701772
32000,0.0005395437524162519,0.010402351663273166,0.00921234812701772
32000,0.00354784475392336,0.010402351663273166,0.00921234812701772
32000,0.01122962702445626,0.010402351663273166,0.00921234812701772
32000,0.01669385147215955,0.010402351663273166,0.00921234812701772
32000,0.019842641921909446,0.010402351663273166,0.00921234812701772
32000,0.0015370328515549791,0.010402351663273166,0.00921234812701772
32000,0.006806533584487047,0.010402351663273166,0.00921234812701772
32000,0.008717687610880199,0.010402351663273166,0.00921234812701772
32000,0.02966833028268435,0.010402351663273166,0.00921234812701772
64000,0.014240045969464215,0.005438834083034775,0.0036637689234366787
64000,0.005159819082060327,0.005438834083034775,0.0036637689234366787
64000,0.004678968304795915,0.005438834083034775,0.0036637689234366787
64000,0.005147294444447736,0.005438834083034775,0.0036637689234366787
64000,0.003818272138423375,0.005438834083034775,0.0036637689234366787
64000,4.597831534293871e-05,0.005438834083034775,0.0036637689234366787
64000,0.0057623967254255976,0.005438834083034775,0.0036637689234366787
64000,0.003254438113974635,0.005438834083034775,0.0036637689234366787
64000,0.00455358389775629,0.005438834083034775,0.0036637689234366787
64000,0.007727543838656724,0.005438834083034775,0.0036637689234366787
