M,weak_error,mean,std
2000,0.0426830401471705,0.029438123879636423,0.024616004695837024
2000,0.01840663524664311,0.029438123879636423,0.024616004695837024
2000,0.03268146517630823,0.029438123879636423,0.024616004695837024
2000,0.015994048313645235,0.029438123879636423,0.024616004695837024
2000,0.0026601419732953132,0.029438123879636423,0.024616004695837024
2000,0.03388992440847265,0.029438123879636423,0.024616004695837024
2000,0.005185355649186046,0.029438123879636423,0.024616004695837024
2000,0.06499446234884358,0.029438123879636423,0.024616004695837024
2000,0.005813580025603656,0.029438123879636423,0.024616004695837024
2000,0.07207258550719595,0.029438123879636423,0.024616004695837024
4000,0.018801992155083987,0.02527791794502269,0.016843978004676657
4000,0.034490759742630044,0.02527791794502269,0.016843978004676657
4000,0.00803138245757115,0.02527791794502269,0.016843978004676657
4000,0.03286807115944609,0.02527791794502269,0.016843978004676657
4000,0.003230967138676319,0.02527791794502269,0.016843978004676657
4000,0.03088060503717013,0.02527791794502269,0.016843978004676657
4000,0.040447132738176884,0.02527791794502269,0.016843978004676657
4000,0.025867755054014608,0.02527791794502269,0.016843978004676657
4000,0.0036363757729259744,0.02527791794502269,0.016843978004676657
4000,0.05452413819453172,0.02527791794502269,0.016843978004676657
8000,0.012596399151450933,0.019672670471078978,0.011633431643300949
8000,0.02580516628035103,0.019672670471078978,0.011633431643300949
8000,0.00796975087241478,0.019672670471078978,0.011633431643300949
8000,0.013493490257264863,0.019672670471078978,0.011633431643300949
8000,0.03482447487225143,0.019672670471078978,0.011633431643300949
8000,0.01105745423430816,0.019672670471078978,0.011633431643300949
8000,0.015950362068466967,0.019672670471078978,0.011633431643300949
8000,0.028149389693943545,0.019672670471078978,0.011633431643300949
8000,0.007049376296159792,0.019672670471078978,0.011633431643300949
8000,0.03983084098417831,0.019672670471078978,0.011633431643300949
16000,0.007004580595026524,0.007141305983987949,0.006038379144670848
16000,0.0027337207512895365,0.007141305983987949,0.006038379144670848
16000,0.007304927238603075,0.007141305983987949,0.006038379144670848
16000,0.003027146340833166,0.007141305983987949,0.006038379144670848
16000,0.001491610599497291,0.007141305983987949,0.006038379144670848
16000,0.020807162105563114,0.007141305983987949,0.006038379144670848
16000,0.010440066618333261,0.007141305983987949,0.006038379144670848
16000,0.01178090902315856,0.007141305983987949,0.006038379144670848
16000,0.00594660370983083,0.007141305983987949,0.006038379144670848
16000,0.0008763328577441153,0.007141305983987949,0.006038379144670848
32000,0.005709277310569274,0.007411463648468014,0.0031478620751414364
32000,0.014642298853812165,0.007411463648468014,0.0031478620751414364
32000,0.005462618134055668,0.007411463648468014,0.0031478620751414364
32000,0.008126688573351344,0.007411463648468014,0.0031478620751414364
32000,0.0043955715151722955,0.007411463648468014,0.0031478620751414364
32000,0.004950462698162118,0.007411463648468014,0.0031478620751414364
32000,0.008221541304587522,0.007411463648468014,0.0031478620751414364
32000,0.010403768921376884,0.007411463648468014,0.0031478620751414364
32000,0.006965367146544886,0.007411463648468014,0.0031478620751414364
32000,0.005237042027047991,0.007411463648468014,0.0031478620751414364
64000,0.009628646645351386,0.006168212507714202,0.0034320356226250166
64000,0.006397409837068539,0.006168212507714202,0.0034320356226250166
64000,0.004791664948792693,0.006168212507714202,0.0034320356226250166
64000,0.0012449347793785813,0.006168212507714202,0.0034320356226250166
64000,0.002332618477264734,0.006168212507714202,0.0034320356226250166
64000,0.003953123411541377,0.006168212507714202,0.0034320356226250166
64000,0.00459719932310312,0.006168212507714202,0.0034320356226250166
64000,0.01118422360914474,0.006168212507714202,0.0034320356226250166
64000,0.010646925383052131,0.006168212507714202,0.0034320356226250166
64000,0.006905378662444705,0.006168212507714202,0.0034320356226250166
